id,displayName,description,specialization,isMembershipLimitedToOwners,visibility,isArchived,createdDateTime
27b2ccbe-c185-40f5-a243-a6f3c2f335df,"UNI | Tec Retro, Rest Patrim Hist | Qua | Not | ARQ0012 (BL), ARQ0083 (TB), ARQ0084 (RS), ARQ0111 (TB), ARQ0112 (RS), ARQ0115 (BL)","UNI | Tec Retro, Rest Patrim Hist | Qua | Not | ARQ0012 (BL), ARQ0083 (TB), ARQ0084 (RS), ARQ0111 (TB), ARQ0112 (RS), ARQ0115 (BL)",educationClass,False,hiddenMembership,False,2021-02-12T21:54:46.449Z
8eed214d-0c12-4672-a57a-985f37537849,"UNI | Fisiopatologia Geral | Seg | Not | BIM0069 (BN), ENF0057 (BN), FIS0077 (BN), NUT0071 (BN)","UNI | Fisiopatologia Geral | Seg | Not | BIM0069 (BN), ENF0057 (BN), FIS0077 (BN), NUT0071 (BN)",educationClass,False,hiddenMembership,False,2021-02-12T23:26:26.526Z
7c9f5d1b-2113-4943-ac72-c036e4f8146b,"UNI | Contabilidade Intermediária | Qui | Not | CON0437 (BL), CON0452 (BL)","UNI | Contabilidade Intermediária | Qui | Not | CON0437 (BL), CON0452 (BL)",educationClass,False,hiddenMembership,False,2021-02-12T22:21:54.393Z
09e2763d-a4f4-4799-bd76-4271a58d7431,"UNI | Projeto Experimental | Qua | Not | PEP0124 (GM), PEP0139 (GM)","UNI | Projeto Experimental | Qua | Not | PEP0124 (GM), PEP0139 (GM)",educationClass,False,hiddenMembership,False,2021-02-12T22:00:53.153Z
d497232b-7f0d-4e42-9ae6-740af710bcec,"UNI | Aprendizagem Motora | Qui | Not | EFI0052 (BN), EFI0059 (BN)","UNI | Aprendizagem Motora | Qui | Not | EFI0052 (BN), EFI0059 (BN)",educationClass,False,hiddenMembership,False,2021-02-12T22:11:36.688Z
06d04f83-de5c-4df4-b772-b7eed75a1994,"UNI | Análise Experimental do Comportamento | Sex | Not | PSI0203 (BN), PSI0217 (BN)","UNI | Análise Experimental do Comportamento | Sex | Not | PSI0203 (BN), PSI0217 (BN)",educationClass,False,hiddenMembership,False,2021-02-12T23:53:23.782Z
9e0f3ced-c9a1-494e-be98-5b0e44d56c01,UNI | Odontologia Pré-clínica em Oclusão e Dentística I | Sex | Mat | ODT0013 (BN),UNI | Odontologia Pré-clínica em Oclusão e Dentística I | Sex | Mat | ODT0013 (BN),educationClass,False,hiddenMembership,False,2021-02-12T23:09:21.784Z
70e45c1e-8eec-43e4-b9ba-29d6af36d155,UNI | Direito das Relações Internacionais | Sex | Mat | DIR0011 (BL),UNI | Direito das Relações Internacionais | Sex | Mat | DIR0011 (BL),educationClass,False,hiddenMembership,False,2021-02-12T21:54:36.399Z
84899db2-f116-45f8-8c0e-f8c2c4be0c3e,"UNI | Tópicos Especiais I | Seg | Not | DIR0095 (IG), DIR0096 (GM)","UNI | Tópicos Especiais I | Seg | Not | DIR0095 (IG), DIR0096 (GM)",educationClass,False,hiddenMembership,False,2021-02-12T21:54:36.016Z
23e7af9d-a879-4cab-a55c-b8c4189526a8,UNI | Metodologia do Ensino da Natação | Sex | Mat | EFI0062 (BN),UNI | Metodologia do Ensino da Natação | Sex | Mat | EFI0062 (BN),educationClass,False,hiddenMembership,False,2021-02-12T21:46:23.745Z
a290fa8e-4eea-41df-a507-fcd4a4aa8704,"UNI | Orçamento Empresarial | Seg | Not | ADM0271 (GM), ADM0273 (IG), CON0249 (GM)","UNI | Orçamento Empresarial | Seg | Not | ADM0271 (GM), ADM0273 (IG), CON0249 (GM)",educationClass,False,hiddenMembership,False,2021-02-12T22:21:48.18Z
9b88421c-ad02-436f-ae32-54f1235e6db7,"UNI | Gestão e Análise de Custos | Ter | Not | CON0419 (BL), CON0425 (GM), CON0427 (IG)","UNI | Gestão e Análise de Custos | Ter | Not | CON0419 (BL), CON0425 (GM), CON0427 (IG)",educationClass,False,hiddenMembership,False,2021-02-12T23:39:08.226Z
60ae5366-f4a3-4740-9c5e-c0d5140b5577,"UNI | Assistência de Enfermagem ao Paciente em Situações Cirúrgicas | Sex | Not | ENF0050 (BN), ENF0051 (BR)","UNI | Assistência de Enfermagem ao Paciente em Situações Cirúrgicas | Sex | Not | ENF0050 (BN), ENF0051 (BR)",educationClass,False,hiddenMembership,False,2021-02-12T22:21:52.263Z
3c0e5469-7d09-4f9a-8a22-58d4c891c3c9,"UNI | Programação para Web | Seg | Not | INF0229 (BR), INF0231 (IG)","UNI | Programação para Web | Seg | Not | INF0229 (BR), INF0231 (IG)",educationClass,False,hiddenMembership,False,2021-02-12T22:21:51.091Z
708a8d42-a4b5-4f8c-ad74-5c1e0ecf4708,UNI | Anatomorfofisiologia do Sistema Tegumentar e Locomotor | Ter | Mat | ENF0067 (BN),UNI | Anatomorfofisiologia do Sistema Tegumentar e Locomotor | Ter | Mat | ENF0067 (BN),educationClass,False,hiddenMembership,False,2021-02-12T22:17:03.007Z
